symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
ENRIN,Siemens Ener.Ind,Screener: Heavy Electrical Equipment,,117982.72,True,67.75,True,21.45,True,3670.1,True,0.04,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,3313.0,55.9,14.94,24.3,20.38,Bullish (Uptrend),-5.83,3265.0,3328.6,False,247,-13.16,1.58,5.73,,9.35,-14.99,66,4.07,IMPROVING,IMPROVING,3.92,False,False,True,False,True,,True,False
GRINDWELL,Grindwell Norton,Screener: Abrasives & Bearings,,21841.73,True,21.18,True,18.93,True,542.14,True,0.02,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1972.7,50.81,26.85,22.3,14.67,Bullish (Uptrend),-6.39,1971.0,2002.7,False,247,-3.55,-3.27,4.93,,36.69,-15.54,68,-0.78,LAGGING,LAGGING,7.63,False,False,True,False,True,,True,False
TIMKEN,Timken India,Screener: Abrasives & Bearings,,24115.88,True,18.26,True,18.13,True,437.43,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,3206.1,50.69,14.09,20.33,17.94,Bullish (Uptrend),-6.43,3205.0,3291.4,False,247,-14.32,3.09,-1.24,,-13.81,-15.59,69,5.58,IMPROVING,IMPROVING,2.39,False,False,True,False,True,,True,False
MTARTECH,MTAR Technologie,Screener: Other Electrical Equipment,,21224.12,True,15.15,True,21.06,True,191.66,True,0.46,True,3.52,True,6,,OK,2026-09-26,Screener 2026-09-26,6900.0,46.71,12.72,23.83,26.89,Bearish (Downtrend),-7.22,6707.5,6969.0,False,247,3.08,-12.34,-4.02,,96.0,-16.38,71,-9.86,LAGGING,LAGGING,-3.06,False,False,True,False,True,,False,False
ATLANTAELE,Atlanta Electric,Screener: Heavy Electrical Equipment,,12502.62,True,45.28,True,18.61,True,184.33,True,0.05,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1625.9,41.55,20.37,13.96,28.58,Bearish (Downtrend),-7.37,1625.0,1778.9,False,246,-3.22,-6.23,-8.42,,42.84,-16.53,72,-3.75,LAGGING,LAGGING,-14.62,False,False,True,False,True,,False,False
TRANSRAILL,Transrail Light,Screener: Heavy Electrical Equipment,,6299.96,True,33.56,True,11.79,True,642.92,True,0.3,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,469.25,59.05,40.54,31.49,19.21,Bullish (Uptrend),-7.7,469.05,478.8,False,247,-15.07,6.42,13.46,,-19.02,-16.86,73,8.9,IMPROVING,IMPROVING,12.28,False,False,True,False,True,,True,False
KIRLOSBROS,Kirl. Brothers,"Screener: Compressors, Pumps & Diesel Engines",,14070.47,True,20.35,True,11.75,True,334.22,True,0.1,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1771.9,41.48,23.95,12.85,23.17,Bearish (Downtrend),-8.05,1771.0,1772.2,False,247,4.47,-14.76,-1.03,,14.16,-17.2,74,-12.27,LAGGING,LAGGING,-10.32,False,False,True,False,True,,False,False
CUMMINSIND,Cummins India,"Screener: Compressors, Pumps & Diesel Engines",,137075.4,True,39.5,True,20.44,True,1734.26,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,4945.0,39.57,24.88,15.63,26.36,Bearish (Downtrend),-9.04,4908.6,4957.0,False,247,-12.79,2.71,-2.55,,1.09,-18.19,75,5.2,IMPROVING,IMPROVING,-10.73,False,False,True,False,True,,False,False
POWERINDIA,Hitachi Energy,Screener: Heavy Electrical Equipment,,138330.33,True,29.36,True,15.54,True,1244.83,True,0.02,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,31035.0,43.66,17.41,20.51,25.55,Bearish (Downtrend),-9.54,31020.0,31875.0,False,247,-11.21,1.67,1.01,,22.56,-18.7,76,4.15,IMPROVING,IMPROVING,-5.04,False,False,True,False,True,,False,False
FINPIPE,Finolex Inds.,Screener: Plastic Products - Industrial,,9565.27,True,11.83,True,17.5,True,191.75,True,0.07,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,154.16,43.12,26.56,13.3,20.54,Bearish (Downtrend),-9.94,152.68,162.59,False,247,-11.38,-1.15,-0.34,,-18.04,-19.1,77,1.32,LAGGING,IMPROVING,-7.24,False,False,True,False,True,,False,False
ELECON,Elecon Engg.Co,Screener: Heavy Electrical Equipment,,10283.13,True,20.86,True,20.95,True,314.22,True,0.12,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,458.25,61.46,17.91,32.51,14.09,Bullish (Uptrend),-10.62,456.0,458.9,False,247,-23.22,8.11,10.5,,-1.81,-19.78,78,10.59,IMPROVING,IMPROVING,18.42,False,False,True,False,True,,True,False
KIRLOSENG,Kirloskar Oil,"Screener: Compressors, Pumps & Diesel Engines",,31100.5,True,14.55,True,17.51,True,932.21,True,1.48,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,2137.2,48.72,13.77,19.82,18.65,Bullish (Uptrend),-10.73,2132.4,2278.5,False,247,16.78,-27.87,-1.73,,44.15,-19.88,79,-25.38,LAGGING,LAGGING,1.17,True,False,True,False,True,,False,False
PREMIERENE,Premier Energies,Screener: Other Electrical Equipment,,40692.21,True,32.71,True,30.04,True,1261.06,True,0.86,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,896.4,33.73,41.84,7.88,30.25,Bearish (Downtrend),-11.19,894.05,904.85,False,247,-11.23,-0.7,-5.87,,1.97,-20.34,80,1.78,LAGGING,IMPROVING,-22.37,False,False,True,False,True,,False,False
HONAUT,Honeywell Auto,Screener: Industrial Products,,29936.66,True,16.95,True,13.53,True,492.6,True,0.02,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,33865.0,39.64,19.76,18.79,22.98,Bearish (Downtrend),-11.49,33800.0,34645.0,False,247,-4.94,-5.64,0.69,,19.91,-20.64,81,-3.15,LAGGING,LAGGING,-4.19,False,False,True,False,True,,False,False
