Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1226.60,33.44,14606.74,0.16,119.49,22.28,785.68,20.49,31.63,22.62,0.00,22.81,32.23,0.00,14.95,38.09,26.64,417.25,1262.65,38.01,15.50,5.21,49.21
Adisoft Technol.,,ADISOFT,INE20PL01012,Industrial Manufacturing,Industrial Products,259.50,18.47,423.45,0.00,17.59,84.00,117.46,46.40,38.19,12.58,0.30,37.67,16.56,0.00,30.12,55.66,39.26,17.34,10.12,37.96,18.10,27.68,2.47
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3687.50,91.40,43623.29,0.04,142.20,332.48,1402.42,89.51,28.56,60.51,0.14,25.41,27.64,0.00,22.71,48.42,21.91,13.47,-139.73,25.07,14.52,51.85,84.01
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,8.39,,4.49,0.00,-0.83,11.70,7.44,13.94,-28.79,-2.34,3.29,-197.16,-4.69,100.00,-14.98,,-67.10,-0.68,10.57,-12.24,-20.07,-15.29,0.00
Aditya Ultra,,AUSL,INE01YQ01013,Industrial Products,Iron & Steel Products,23.00,14.21,57.12,0.00,3.42,-17.19,221.10,-18.99,7.36,8.86,0.77,3.96,1.64,0.00,-8.54,13.08,9.42,3.76,-34.82,12.68,2.69,-30.71,0.00
Admach Systems,544669,,INE0XLO01010,Industrial Manufacturing,Industrial Products,475.00,32.14,321.71,0.00,5.54,30.97,40.46,26.99,25.03,23.15,0.00,21.64,15.01,0.00,73.91,364.31,30.62,-4.53,-10.95,33.62,18.53,29.14,11.44
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1638.90,23.82,2852.15,1.40,27.35,890.46,308.63,23.19,22.71,15.14,0.01,16.42,75.06,0.00,13.49,14.03,16.79,116.73,313.41,23.84,13.50,8.58,3.16
Adtech Systems,544185,,INE257C01014,Industrial Manufacturing,Industrial Products,45.02,23.84,53.64,2.44,-0.52,-178.79,13.19,50.06,9.31,10.79,0.00,5.99,29.08,29.68,-8.79,-3.88,7.72,4.59,19.21,10.84,5.36,8.98,0.00
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,1906.00,36.14,2087.14,0.10,14.80,65.95,179.27,51.37,27.91,19.40,0.34,21.53,6.27,0.00,89.99,82.99,23.88,-9.68,27.42,30.67,12.26,69.89,59.28
Advance Multi.,526331,,INE875S01019,Industrial Products,Plastic Products - Industrial,95.62,6.33,38.98,0.00,4.28,1119.05,0.00,-100.00,-17.67,5.83,0.05,-19.66,329.00,0.00,-53.57,,-25.65,-0.65,-0.39,-18.26,-260.98,-91.58,0.00
Advance Syntex,539982,,INE184U01012,Industrial Products,Packaging,4.75,,5.27,0.00,-0.01,,0.00,,-5.26,-46.29,,,,0.00,,22.28,,0.36,9.69,-3.37,,,0.00
Advance Techno.,544843,,INE13ZJ01010,Industrial Products,Castings & Forgings,67.86,14.84,61.28,0.00,,,,,24.63,9.29,1.26,35.42,4.65,0.00,9.79,70.04,33.00,4.45,8.43,22.38,15.54,-1.32,0.00
Aequs,544634,AEQUS,INE947N01017,Aerospace & Defense,Aerospace & Defense,246.05,,16501.73,0.00,-53.23,-1457.91,395.55,54.77,1.69,112.82,0.47,-9.96,-0.09,0.00,14.85,-4.73,-9.43,-98.75,-91.72,2.24,5.58,33.08,78.66
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,525.70,103.60,6956.63,0.08,18.79,162.06,145.38,72.39,18.92,57.77,0.02,14.07,83.07,0.00,17.93,19.63,16.36,65.84,136.51,22.58,23.41,35.64,23.10
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrial Products,Iron & Steel Products,125.64,9.36,1421.80,0.32,103.22,854.16,189.00,40.54,12.63,4.61,0.05,8.41,47.12,0.00,14.37,17.26,9.15,18.30,-190.40,13.61,16.02,27.43,23.10
Aeroflex Neu,543743,AERONEU,INE035801013,Industrial Products,Packaging,80.22,1149.67,206.94,0.00,0.08,-91.25,28.24,-4.92,4.76,26.79,0.24,1.60,1.97,0.00,10.53,-24.22,0.91,2.89,11.64,4.16,2.92,-1.64,0.00
Aeron Composites,,AERON,INE0WL801011,Industrial Products,Other Industrial Products,82.05,15.94,139.65,0.00,1.48,-75.83,103.01,-5.14,9.69,7.58,0.53,8.32,4.42,0.00,7.34,9.90,15.77,5.58,17.79,22.47,8.67,1.76,2.35
Aerpace Indus,534733,,INE175N01023,Industrial Products,Iron & Steel Products,37.48,,576.66,0.00,-4.16,-139.53,0.00,,-21.52,-41.11,1.05,-35.16,-9.81,0.00,,,-28.22,-3.13,-10.30,-17.75,,,56.70
Affordable Robo.,541402,AFFORDABLE,INE692Z01013,Industrial Manufacturing,Industrial Products,178.25,39.14,225.86,0.00,-4.80,-33.33,9.12,-51.54,8.25,18.57,0.44,6.06,3.10,0.00,-0.26,15.82,6.29,42.89,52.67,8.73,13.27,-44.40,23.81
AFLOAT Enterpris,543377,,INE0CWK01019,Industrial Products,Iron & Steel Products,6.13,,7.70,0.00,0.17,-71.19,0.80,-86.89,0.00,,0.03,0.00,,0.00,-21.63,,0.96,-0.73,-11.55,2.67,-6.11,-70.49,0.00
Agarwal Float,,AGARWALFT,INE0MLA01012,Industrial Products,Glass - Industrial,25.95,12.79,18.80,0.00,0.02,-98.08,26.85,-32.16,10.06,9.37,0.82,7.64,2.48,0.00,10.52,-16.77,9.17,3.03,3.84,11.05,5.73,-9.71,4.45
Agarwal Fortune,530765,,INE510B01018,Industrial Products,Glass - Industrial,18.95,108.50,6.51,0.00,0.03,0.00,0.39,-81.78,11.18,30.14,2.78,8.63,1.26,0.00,4.53,0.00,20.90,-0.40,-0.38,18.64,6.98,-28.60,0.00
